email,source,phone,linkedin,twitter,instagram,facebook,youtube,mx_valid
#QUERY,restaurants tokyo,2026-06-27 20:00:12
info.hwc@utoronto.ca,https://studentlife.utoronto.ca/task/book-appointments-and-view-lab-results-online/,416-978-8030,,https://twitter.com/uoftstudentlife,https://www.instagram.com/uoftstudentlife,https://www.facebook.com/UofTStudentLife,,yes
insurancequestions@nd.edu,https://studenthealth.nd.edu/university-health-services/,574-631-7497,https://www.linkedin.com/school/university-of-notre-dame,https://twitter.com/NotreDame,https://www.instagram.com/notredame,https://www.facebook.com/notredame,,yes
studenthealth@nd.edu,https://studenthealth.nd.edu/university-health-services/,574-631-7497,https://www.linkedin.com/school/university-of-notre-dame,https://twitter.com/NotreDame,https://www.instagram.com/notredame,https://www.facebook.com/notredame,,yes
medicalrecords@nd.edu,https://studenthealth.nd.edu/university-health-services/,574-631-7497,https://www.linkedin.com/school/university-of-notre-dame,https://twitter.com/NotreDame,https://www.instagram.com/notredame,https://www.facebook.com/notredame,,yes
info@whatsgoodwellness.ca,https://whatsgoodwellness.ca/contact-us/,905-845-5775,,,https://www.instagram.com/whatsgoodwellness,https://www.facebook.com/whatsgoodwellness,,yes
feedback@umcsn.com,https://www.umcsn.com/,+17023832000,,,,https://www.facebook.com/umcsn,,yes
cafedestaxis@gmail.com,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
immunizations@nd.edu,https://studenthealth.nd.edu/university-health-services/,574-631-7497,https://www.linkedin.com/school/university-of-notre-dame,https://twitter.com/NotreDame,https://www.instagram.com/notredame,https://www.facebook.com/notredame,,yes
healthservices@laurentian.ca,https://laurentian.ca/services/health-and-wellness-clinic,"7056751151,1067",,,,,,yes
registrar@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
katerina.matousova@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
print.center@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
admissions@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
alumni@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
counseling@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
atc@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
marta.vondrackova@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
bursar@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
library@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
info@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
katerina.dudys@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
financial.aid@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
housing@aauni.edu,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
myclinic@myclinic.cz,https://www.aauni.edu/student-life/student-services-support/health-and-wellness/,+420257530202,https://www.linkedin.com/school/anglo-american-university-aau,,https://www.instagram.com/aauprague,https://www.facebook.com/aauprague,https://www.youtube.com/channel/UC79rw-rN11G2uB37vuqee1g,yes
info@nacdi.org,https://nacdi.org/directory/item/the-cultural-wellness-center/,612-721-5745,,,https://www.instagram.com/nacdi.mn,https://www.facebook.com/NativeAmericanCommunityDevelopmentInstitute,https://www.youtube.com/channel/UChCoBWgb6Wxw9pY8npYQ0Fw,yes
info@healthsourcechiro.com,https://www.healthsourcechiro.com/,083333333333,https://www.linkedin.com/company/healthsource-chiropractic-&-progressive-rehabilitation,,https://www.instagram.com/healthsourcechiropractic,https://www.facebook.com/healthsourcechiropractic,,yes
wellness@dom.edu,https://www.dom.edu/student-support/wellness-center,7085246229,,,https://www.instagram.com/dominicanu,https://www.facebook.com/Dominican,https://www.youtube.com/@DominicanUniversity,yes
info@happyhealthwellness.com,https://happyhealthwellness.com/,31536000,,,https://www.instagram.com/happyhealthwellnessiv,https://www.facebook.com/happyhealthwellnessiv,,yes
marketing@happyhealthwellness.com,https://happyhealthwellness.com/,31536000,,,https://www.instagram.com/happyhealthwellnessiv,https://www.facebook.com/happyhealthwellnessiv,,yes
bmockowiak@sacredpath.org,https://sacredpath.org/,(626) 214-8580,,,https://instagram.com/sacredpathiwc,https://www.facebook.com/SacredPathIWC,,yes
information@sacredpath.org,https://sacredpath.org/,(626) 214-8580,,,https://instagram.com/sacredpathiwc,https://www.facebook.com/SacredPathIWC,,yes
customerservice@wellnessandrehabclinic.com,https://wellnessandrehabclinic.com/,+18013278700,,,https://instagram.com/americanwellnessandrehabclinic,https://facebook.com/AmericanWellnessClinic,https://youtube.com/@AmericanWellnessAndRehab,yes
practicemanager@capesamaritan.com,https://capesamaritan.com/,(239)%20360-7520,,https://twitter.com/Samaritanlovesu,,https://www.facebook.com/capesamaritan,,yes
contact@mysite.com,https://capesamaritan.com/,(239)%20360-7520,,https://twitter.com/Samaritanlovesu,,https://www.facebook.com/capesamaritan,,yes
office@cellmedicine.com,https://www.cellmedicine.com/,1800980STEM,,https://twitter.com/Stemcellspanama,https://www.instagram.com/stemcellspanama,https://www.facebook.com/stemcellinstitute,https://www.youtube.com/channel/UCaCdJpEhMZcPpVov-iVzqSw,yes
hello@tohelpeveryone.org,https://www.tohelpeveryone.org/contact-us/,3237301920,,https://twitter.com/tohelpeveryone,https://www.instagram.com/tohelpeveryone,https://www.facebook.com/ToHelpEveryone,,yes
info@miamibeachcwc.com,https://www.miamibeachcwc.com/,3053978229,,,https://www.instagram.com/miamibeachcwc,https://www.facebook.com/MiamiBeachComprehensiveWellnessCenter,,yes
info@mhala.org,https://www.mhala.org/,562-285-1330,https://www.linkedin.com/company/mentalhealthamericaoflosangeles,https://twitter.com/MHA_Los_Angeles,https://www.instagram.com/mha_los_angeles,https://www.facebook.com/MentalHealthAmericaofLosAngeles,https://www.youtube.com/channel/UCMFLORGKnv8u2US6N-GJUqQ,yes
gsa@my.lanecc.edu,https://www.lanecc.edu/get-support/health-wellness/mental-health-wellness-center,+1-541-463-5340,https://www.linkedin.com/school/lane-community-college,,https://www.instagram.com/lanetitans,https://www.facebook.com/LaneCommunityCollege,,yes
mhwc@lanecc.edu,https://www.lanecc.edu/get-support/health-wellness/mental-health-wellness-center,+1-541-463-5340,https://www.linkedin.com/school/lane-community-college,,https://www.instagram.com/lanetitans,https://www.facebook.com/LaneCommunityCollege,,yes
raesi@lanecc.edu,https://www.lanecc.edu/get-support/health-wellness/mental-health-wellness-center,+1-541-463-5340,https://www.linkedin.com/school/lane-community-college,,https://www.instagram.com/lanetitans,https://www.facebook.com/LaneCommunityCollege,,yes
ritesofpassage@lanecc.edu,https://www.lanecc.edu/get-support/health-wellness/mental-health-wellness-center,+1-541-463-5340,https://www.linkedin.com/school/lane-community-college,,https://www.instagram.com/lanetitans,https://www.facebook.com/LaneCommunityCollege,,yes
apisu@lanecc.edu,https://www.lanecc.edu/get-support/health-wellness/mental-health-wellness-center,+1-541-463-5340,https://www.linkedin.com/school/lane-community-college,,https://www.instagram.com/lanetitans,https://www.facebook.com/LaneCommunityCollege,,yes
u202finfo@theretreatcostarica.com,https://www.theretreatcostarica.com/,50689470707,,,,,,yes
info@theretreatcostarica.com,https://www.theretreatcostarica.com/,50689470707,,,,,,yes
